text,summary
స్పెయిన్‌లో కరోనా వైరస్‌ తీవ్ర భయాందోళనలు సృష్టిస్తోంది. గడిచిన 24 గంటల్లో కోవిడ్‌ కారణంగా రికార్డు స్థాయిలో 100 మంది మృతి చెందగా.. 2వేల కొత్త కేసులు నమోదు అయ్యాయి. కాగా ఇప్పటివరకు స్పెయిన్‌లో 7753 కేసులు నమోదు కాగా.. 288 మంది మృత్యువాత పడ్డారు. దీంతో స్పెయిన్‌ ప్రభుత్వ  మరింత అప్రమత్తమైంది. దేశంలో కోవిడ్‌ వ్యాప్తి చెందకుండా ఉండేందుకు ఇప్పటికే అనేక చర్యలు చేప్పటింది. అనేక కార్యాలయాలను మూసివేసింది. ప్రయాణాలను రద్దు చేసేకోవాలని దేశ ప్రజలకు సూచించింది. మరోవైపు ప్రపంచ వ్యాప్తంగా కరోనా కేసులు రోజురోజుకూ పెరుగుతున్నాయి.  ఇటలీలో కరోనా మృతుల సంఖ్య 1400కు చేరింది. భారత్‌లోకూ కోవిడ్‌ కేసులు ఆదివారం నాటికి 108కి చేరుకున్నాయి.,24 గంటల్లో వంద మరణాలు.. 2వేల కరోనా కేసులు
"మట్టిపొరలను సుతిమెత్తగా తొలగించుకుంటూ వచ్చే లేతమొక్కలా గోరటి వెంకన్న పాట మొలకెత్తుతుంది. పల్లె పొత్తిళ్ళ నుంచి ఎగిరొచ్చిన పసితనం అద్దుకున్న పాట రాజ్యధిక్కారాన్ని నింపుకుని నల్లతుమ్మముల్లులా గుచ్చుకుంటుంది. గోరటి పాట ప్రకృతిలోని నిసర్గ సౌందర్యాన్ని దోసిట్లో పోసుకొని తాగుతున్నట్లుగా ఉంటుంది. ఒక జీవితానికి సరిపడినంత తాత్త్విక దాహం తీర్చుకున్నట్లుగా దేహం విశ్వాంతరాల్లోకి తేలిపోతుంది. ఎవరూ పట్టుకోని హీనప్రతీకలను, ఎవరూ ముట్టుకోని కవిసమయాలను అందుకున్న సహజకవి. ప్రబంధ కవితా పాదాల వరుసలో సాగుతూ, ప్రజా వ్యథల్ని వినిపిస్తున్న వాగ్గేయకారుడు. ‘వాగు ఎండిపాయెరో పెదవాగు తడి పేగు ఎండిపాయెరా!’ అని వెంకన్న వేదనా చెందాడేమోగాని ఏనాటికీ ఎండిపోని పాటల వాగును తెలుగుజాతికి అందించిన గోరటి వెంకన్నతో ప్రత్యేక సంభాషణ.",నా ప్రతి చరణం ఒక ఆత్మ విమర్శ
కష్టపడి చదివాడు..కన్నవారి కలలు నిజం చేశాడు. మామూలు వైద్యుడి కంటే ఏకంగా ‘గుండె’ డాక్టరే(కార్డియాలజిస్ట్‌) అయ్యాడు. కాలక్రమంలో అతనిలో ‘ప్రేమ’ అనే మరో కల మొగ్గలు తొడిగింది. చివరికి పెళ్లి దాకా వెళ్లింది. ఏ ప్రేమ కోసమైతే అతడు ఆరాటపడ్డాడో అదే ‘ప్రేమకల’ చెదిరిపోయింది. ఆ వైద్యుడి గుండె శాశ్వతంగా ఆగిపోయింది. రామకృష్ణాపూర్‌లో విషాదం నింపిన ఘటన  వివరాలివి.. పట్టణంలోని ఠాగూర్‌ స్టేడియం ఏరియాకు చెందిన దాసారాపు సుభాష్‌(34) గురువారం రాత్రి హైదరాబాద్‌లో బలవన్మరణానికి పాల్పడ్డాడు. రిటైర్‌ కార్మికుడు ఆగయ్య కుమారుడైన సుభాష్‌ మెడిసిన్‌కు ఎంపికయ్యాడు. అరుదైన గుండె విభాగంలో స్పెషలైజేషన్‌ పూర్తిచేశాడు. ప్రస్తుతం యశోద ఆసుపత్రిలో కార్డియాలజిస్ట్‌గా పనిచేస్తున్నాడు. అందరితో కలివిడిగా ఉండే సుభాష్‌ హైదరాబాద్‌లో తానుంటున్న ఇంటిలోనే విషపు ఇంజక్షన్‌ వేసుకుని విగతజీవుడయ్యాడు.,ప్రేమ కల చెదిరింది.. డాక్టర్‌ గుండె ఆగింది
"బీటెక్‌లో ఆర్టిఫిషియల్‌ ఇంటెలిజెన్స్, మెషీన్‌ లెర్నింగ్, సైబర్‌ సెక్యూరిటీ, డేటా సైన్స్, ఇంటర్నెట్‌ ఆఫ్‌ థింగ్స్, కంప్యూటర్‌ సైన్స్‌ అండ్‌ ఇంజనీరింగ్‌ (నెట్‌వర్క్స్‌), కంప్యూటర్‌ ఇంజనీరింగ్‌ వంటి కొత్త కోర్సుల్లో ఈసారి 21 వేల వరకు సీట్లు వచ్చే అవకాశం ఉంది. ఇప్పటికే కొత్త కోర్సుల్లో 20,700 వరకు సీట్లు నింపుకొనేందుకు అనుబంధ గుర్తింపు (అఫిలియేషన్‌) ఇవ్వాలని యాజమాన్యాలు జేఎన్‌టీయూకు దరఖాస్తు చేసుకోగా, మరో 1,500 సీట్ల కోసం దరఖాస్తులు వస్తాయని అధికారులు అంచనా వేస్తున్నారు. ఉస్మానియా యూనివర్సిటీ, కాకతీయ యూనివర్సిటీ పరిధిలో 800 వరకు సీట్లలో కొత్త కోర్సులు నిర్వహించేందుకు దరఖాస్తులు వచ్చే అవకాశం ఉంది. దీంతో 2020–21 విద్యా సంవత్సరంలో కొత్త కోర్సుల్లో 23 వేల సీట్లకు అనుబంధ గుర్తింపు కోసం దరఖాస్తులు రానున్నాయి. అయితే ఫ్యాక్ట్‌ ఫైండింగ్‌ కమిటీలు (ఎఫ్‌ఎఫ్‌సీ) కాలేజీల్లో తనిఖీలు చేపట్టి, లోపాల మేరకు కోతపెట్టినా కనీసం 21 వేల వరకు కొత్త కోర్సుల్లో సీట్లకు అనుబంధ గర్తింపు లభించే అవకాశం ఉంది.",బీటెక్‌ కొత్త కోర్సుల్లో 21 వేల సీట్లు!
"వ్యవసాయ రంగాన్ని అభివృద్ధి చేసే లక్ష్యంతో పనిచేస్తున్న తెలంగాణ ప్రభుత్వం గత ఐదేళ్లలో మొత్తం బడ్జెట్‌ కేటాయింపుల్లో పది శాతాన్ని దీనికే కేటాయించటం గొప్ప పరిణామమని వ్యవసాయశాఖ మంత్రి నిరంజన్‌రెడ్డి శనివారం శాసనసభలో వెల్లడించారు. ఇది జాతీయ సగటు కంటే ఎక్కువగా ఉందన్న విషయాన్ని గుర్తించాలన్నారు. జాతీయ స్థాయిలో వ్యవసాయానికి కేటాయించిన మొత్తం బడ్జెట్‌ పద్దులో కేవలం 6.5% మాత్రమేనన్నారు. బడ్జెట్‌ పద్దులపై చర్చ అనంతరం ఆయన సమాధానమిచ్చారు. ‘రాష్ట్రంలో వ్యవసాయం, దాని అనుబంధ రంగాలకు కేటాయింపులు గొప్పగా ఉన్నాయి. నాడు బోరుబావి వేసి బాగుపడినవాడు లేడు, నేడు చెరువుల కింద సాగు చేసి చెడిపోయిన వాడు లేడు. అమెరికాలాంటి అగ్రరాజ్యాల్లో కూడా సాగుకు 24 గంటల ఉచిత కరెంటు ఇచ్చిన దాఖలాలు కనిపించవు.",మన వ్యవసాయ కేటాయింపులు జాతీయసగటు కంటే ఎక్కువ
"ఈ నెల 8న రాష్ట్ర వార్షిక బడ్జెట్‌ 2020–21ను ప్రవేశ పెట్టారు. 2 రోజుల సాధారణ చర్చ అనంతరం, శుక్ర, శనివారాల్లో శాఖల వారీగా బడ్జెట్‌ పద్దులపై చర్చలు జరిగాయి. ఇప్పటి వరకు 15 పద్దులపై చర్చించి శాసనసభ ఆమోదించింది. 16 నుంచి 19 వరకు మరో 25 పద్దులౖ పె చర్చించేలా బీఏసీలో తొలుత షెడ్యూలు సిద్ధం చేశారు. తాజాగా సమావేశాలను కుదించాలని నిర్ణయించడంతో 15, 16 తేదీ ల్లోనే సమావేశాలు జరగనున్నాయి. బీఏసీ షెడ్యూలులో 15న, ఆదివారం విరామం ప్రకటించగా, ప్రస్తుత పరిస్థితుల్లో నేడు కూడా పద్దులపై చర్చిస్తారు. 25 పద్దులకు గాను నీటిపారుదల, విద్య, వైద్య ఆరోగ్యం, పంచాయతీరాజ్‌ వంటి కీలక పద్దులకే చర్చను పరిమితంచేసే అవకాశం ఉంది. చర్చకు నోచుకోని మిగతా పద్దులను గిలొటిన్‌ చేసే అవకాశముంది. 20న ప్రవేశ పెట్టాల్సిన ద్రవ్య వినిమయ బిల్లును 16న ప్రవేశపెట్టి ఆమోదించి, సభను నిరవధిక వాయిదా వేస్తారు.",బడ్జెట్‌ సమావేశాలు కుదింపు!
"రాష్ట్రంలో కురిసే ప్రతి వర్షపు నీటి చుక్కను ఒడిసిపట్టే లక్ష్యంతో అన్ని వాగులు, వంకలపై రూ.3,825 కోట్లతో 1,200ల చెక్‌డ్యామ్‌ల నిర్మాణం చేపట్టాలని ప్రభుత్వం నిర్ణయించిందని ఆర్థిక మంత్రి హరీశ్‌రావు తెలిపారు. తొలి విడతగా 600 చెక్‌డ్యామ్‌ల నిర్మాణం చేపట్టనున్నట్లు వెల్లడించా రు. ఈ చెక్‌డ్యామ్‌ల నిర్మాణంతో 15 టీఎంసీ నీటి నిల్వ పెరగనుందని, 3 లక్షల ఎకరాల ఆయకట్టుకు నీరందుతుందని తెలిపారు. శనివారం టీఆర్‌ఎస్‌ సభ్యులు గండ్ర వెంకటరమణారెడ్డి, సంకె రవిశంకర్, కోమటిరెడ్డి రాజగోపాల్‌రెడ్డి తదితరులు అడిగిన ప్రశ్నకు మంత్రి బదులిచ్చారు. చెక్‌డ్యామ్‌ల నిర్మాణ ప్రక్రియ నిరంతరాయంగా కొనసాగుతుందని, అవసరమైన ప్రతిచోటా వీటి నిర్మాణాలు జరుగుతాయన్నారు.",చెక్‌డ్యామ్‌లతో 15 టీఎంసీల నిల్వ
"కరోనా వైరస్‌పై భారతీయులు పెద్దగా ఆందోళన చెందాల్సిన అవసరం లేదంటున్నారు హైదరాబాద్‌ కేంద్రంగా పనిచేస్తున్న సీనియర్‌ శాస్త్రవేత్తలు. ఇటలీ, ఇరాన్‌ వంటి దేశాలతో పోలిస్తే భారత్‌లో కొత్త కేసుల రేటు చాలా తక్కువగా ఉండటం దీనికి ఓ కారణమని ఇండియన్‌ ఇన్‌స్టిట్యూట్‌ ఆఫ్‌ కెమికల్‌ టెక్నాలజీ (ఐఐసీటీ) డైరెక్టర్‌ శ్రీవారి చంద్రశేఖర్‌ స్పష్టం చేశారు. మరో రెండు మూడు వారాల్లో కేసుల సంఖ్య ఎక్కువైనా.. ఆ తర్వాత క్రమేపీ తగ్గుముఖం పడతాయని చెబుతున్నారు సెంటర్‌ ఫర్‌ సెల్యులార్‌ అండ్‌ మాలిక్యులర్‌ బయాలజీ (సీసీఎంబీ) డైరెక్టర్‌ రాకేశ్‌ మిశ్రా. అమెరికా, బ్రిటన్‌లో కరోనా వైరస్‌ వ్యాప్తి, ఆస్పత్రిలో చేరేవారు.. మరణాల గురించి ఇప్పటికే కొన్ని కంప్యూటర్‌ ఆధారిత మోడల్స్‌ వచ్చాయని, వాటి ప్రకారం ఆయా దేశాల్లో కొన్ని లక్షల మంది మరణిస్తారన్న అంచనాలు ఉన్నా.. అవేవీ భారత్‌కు వర్తించవని వీరు ‘సాక్షి’తో స్పష్టం చేశారు. ",ఎండలతో కరోనా తగ్గుముఖం!
"తెలంగాణ పారిశ్రామిక విధానం ‘టీఎస్‌ ఐపాస్‌’ద్వారా 9 నెలల వ్యవధిలో రాష్ట్రానికి రూ.24,577 కోట్ల పెట్టుబడులతో 2,253 పరిశ్రమలొచ్చాయి. ఈ పరిశ్రమల ఏర్పాటు పూర్తయితే 1,70,888 మందికి ప్రత్యక్ష ఉద్యోగాలు లభించనున్నాయి. 2019 ఏప్రిల్‌ 1 నుంచి డిసెంబర్‌ మధ్య కాలంలో రాష్ట్రానికి పెట్టుబడులు వెల్లువెత్తాయని ఈ గణాంకాలు పేర్కొంటున్నాయి. ఏడాదిన్నరగా తీవ్ర ఆర్థిక మాంద్యం నెలకొని ఉన్నా రాష్ట్రంలో పరిశ్రమల ఏర్పాటుపై ఎలాంటి ప్రభావం పడకపోవడం గమనార్హం. కేటగిరీల వారీగా పరిశీలిస్తే.. అత్యధిక సంఖ్యలో వరుసగా ఇంజనీరింగ్, ఫుడ్‌ ప్రాసెసింగ్, వ్యవసాయ ఆధారిత, సిమెంట్, కాంక్రీట్‌ ఉత్పత్తులు, బూడిద ఇటుకులు, గ్రానైట్, స్టోన్‌ క్రషింగ్, ప్లాస్టిక్‌ అండ్‌ రబ్బర్‌ ఉత్పత్తుల పరిశ్రమలు అత్యధిక సంఖ్యలో వచ్చాయి. వీటిలో రూ.712.58 కోట్ల పెట్టుబడులతో 437 ఇంజనీరింగ్‌ పరిశ్రమలు అగ్రస్థానంలో నిలిచాయి. ఇక ఇవి ఏర్పాటైతే 9,186 మందికి ఉద్యోగావకాశాలు లభించనున్నాయి.","రూ.24,577 కోట్లు.. 2,253 పరిశ్రమలు.."
" రాష్ట్రంలో కరోనా వైరస్‌ వేగంగా వ్యాప్తి చెందుతున్న నేపథ్యంలో తెలంగాణ ప్రభుత్వం కీలక నిర్ణయం తీసుకుంది. రాష్ట్ర వ్యాప్తంగా మార్చి 31 వరకు అన్ని విద్యాసంస్థలకు సెలవులు ప్రకటించింది. ఈ మేరకు కరోనాపై ముఖ్యమంత్రి కేసీఆర్‌ శనివారం ఉన్నతస్థాయి సమావేశం నిర్వహించి ప్రస్తుత పరిస్థితిపై సమీక్షించారు. కరోనా వ్యాప్తిని అరికట్టడంలో భాగంగా ముందు జాగ్రత్తగా పాఠశాలలతో పాటు, సినిమా హాల్స్‌, మాల్స్‌ను కూడా మూసివేయాలని సీఎం నిర్ణయించారు. మరో నాలుగు రోజుల్లో ఇంటర్‌ పరీక్షలు ముగియనున్న నేపథ్యంలోనే పరీక్షలను షెడ్యూల్‌ ప్రకారమే నిర్వహించనున్నారు. పదో తరగతి పరీక్షలు కూడా షెడ్యూల్‌ ప్రకారం జరుగనున్నట్లు ప్రభుత్వం ప్రకటించింది. ","కరోనా ఎఫెక్ట్‌ : విద్యా సంస్థలు, మాల్స్‌ మూసివేత"
"అంతర్జాతీయ ముడిచమురు ధరలు భారీగా పతనమవడంతో చమురు కంపెనీలు దేశీ మార్కెట్‌లో పెట్రోల్‌, డీజిల్‌ ధరలను ఆదివారం స్వల్పంగా తగ్గించాయి. లీటర్‌ పెట్రోల్‌ ధరను 12 పైసలు, డీజిల్‌పై లీటర్‌కు 14 పైసల మేర కోత విధించాయి. ఆయిల్‌ కంపెనీల నిర్ణయంతో హైదరాబాద్‌లో లీటర్‌ పెట్రోల్‌ ధర రూ 74.38కి తగ్గింది. ఇక దేశ రాజధాని ఢిల్లీలో పెట్రోల్‌ లీటర్‌ రూ 69.75కు దిగివచ్చింది. ఢిల్లీలో డీజిల్‌ ధర రూ 62.44 పలికింది. ఇతర నగరాలతో పోలిస్తే పెట్రో ఉత్పత్తులపై పన్నుల భారం తక్కువగా ఉండటంతో ఢిల్లీలోనే పెట్రో ధరలు తక్కువగా ఉన్నాయి. అంతర్జాతీయంగా ముడిచమురు ధరలు భారీగా పతనమైనా కేంద్ర ప్రభుత్వం పెట్రో ధరలపై ఎక్సైజ్‌ సుంకాన్ని లీటర్‌కు రూ 3 పెంచడంతో ఆ ప్రయోజనాలను ఆయిల్‌ కంపెనీలు పూర్తిగా వినియోగదారులు మళ్లించలేకపోయాయి. ఎక్సైజ్‌ సుంకాల పెంపు భారాన్ని రికవరీ చేసుకున్న మీదట ముడిచమురు ధరల తగ్గుదల ప్రయోజనాలను ఆయిల్‌ కంపెనీలు వినియోగదారులకు అందిస్తాయని చెబుతున్నారు.",స్వల్పంగా దిగివచ్చిన పెట్రో ధరలు
మొబైల్‌ ఫోన్లపై జీఎస్టీని 18 శాతానికి పెంచాలని జీఎస్టీ కౌన్సిల్‌ సమావేశం నిర్ణయించింది. ఇది ఏప్రిల్‌ 1నుంచి అమలవనుంది. కేంద్ర ఆర్థిక మంత్రి నిర్మలా సీతారామన్‌ నేతృత్వంలో ఇక్కడ జరిగిన 39వ జీఎస్టీ కౌన్సిల్‌ సమావేశం ఈ మేరకు అంగీకరించింది. వినియోగదారుల సమస్యలను అధిగమించేలా జీఎస్టీ నెట్‌వర్క్‌ డిజైన్‌ మెరుగుపరచాలని ఈ సమావేశం ఇన్ఫోసిస్‌ను కోరింది.,సెల్‌ఫోన్లపై జీఎస్టీ ఇకపై 18%
